# Fable TLC RTTI class dump (Steam Fable.exe, image base 0x400000)
# Source: fabletlcmod.com forum th=9198 (EternalNoob, 2012), goto=66825
# 2090 classes. Columns: VFT<TAB>flags<TAB>class<TAB>bases<TAB>rtti_kind
# rtti_kind: SI single / MI multiple / VI virtual inheritance (MSVC RTTI).
VFT	flags	class	bases	rtti_kind
0129D534	0004	C3DAnimation2		MI
0129D1F8	0002	C3DAnimationBlendState	:CSharedData: CIVCountedPointeeBase	SI
0129E9C8	0001	C3DAnimationBuilder	CBaseClassNonCopyable, CBaseClass	SI
0129CE50	0010	C3DAnimationInfo	:CAnimationData: CResource, CIVCountedPointeeBase	SI
01239840	0001	C3DAnimationInterpolator	CBaseClass	SI
0129E134	0001	C3DAnimationManager	CBaseClassNonCopyable, CBaseClass	SI
01249F50	0006	C3DAnimationState	C3DAnimationStateBase, CIVCountedPointeeBase	SI
01265128	0006	C3DAnimationStateAlpha	C3DAnimationState, C3DAnimationStateBase, CIVCountedPointeeBase	SI
01249F34	0006	C3DAnimationStateBase	CIVCountedPointeeBase	SI
0129D514	0007	C3DAnimationStats	CBaseObject, CBaseClass	SI
01265144	0006	C3DAnimationTransitionState	C3DAnimationStateBase, CIVCountedPointeeBase	SI
0129E034	0001	C3DAnimFile	CChunkedFile, CBaseClassNonCopyable, CBaseClass	SI
0129E980	0011	C3DAnimFileBoneMaskChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E7C0	0011	C3DAnimFileHelpersChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E060	0001	C3DAnimFileLoader	CChunkedFileLoader	SI
0129E83C	0011	C3DAnimFileMovementVectorChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E904	0011	C3DAnimFileObjectChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129DFF0	0011	C3DAnimFileRootChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129DFE0	0001	C3DAnimFileSaver	CChunkedFileSaver	SI
0129E8B8	0011	C3DAnimFileSequenceChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E7F0	0011	C3DAnimFileTimingEventChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E144	0011	C3DAnimFileXAllocationSizeChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E1E4	0001	C3DAnimFileXLoader	C3DAnimFileLoader, CChunkedFileLoader	SI
0129E194	0011	C3DAnimFileXSequenceChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129DF74	0001	C3DClothPrimitive	CBaseClassNonCopyable, CBaseClass	SI
0129DEF0	0010	C3DMesh2	C3DMeshStats, CMovableResource	SI
0129E0D8	0001	C3DMeshFile	CChunkedFile, CBaseClassNonCopyable, CBaseClass	SI
0129EB9C	0011	C3DMeshFileBoneChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129F008	0011	C3DMeshFileClothChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E634	0011	C3DMeshFileConvexVolumeChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E5F4	0011	C3DMeshFileDummyObjectChunk	C3DMeshFileHelperPointChunk, CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EFBC	0002	C3DMeshFileEngineMaterialChunk	:CMapFilenames: CIVCountedPointeeBase	SI
0129ECB8	0011	C3DMeshFileGroupChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E5B4	0011	C3DMeshFileHelperPointChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E538	0011	C3DMeshFileHelpersChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E0D0	0001	C3DMeshFileLoader	CChunkedFileLoader	SI
0129EE34	0011	C3DMeshFileMapChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EEE0	0011	C3DMeshFileMaterialChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EE90	0011	C3DMeshFileMaterialExtChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EDE0	0011	C3DMeshFileMaterialListChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EF4C	0011	C3DMeshFilePartitionChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129ED74	0011	C3DMeshFilePrimitiveChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E090	0011	C3DMeshFileRootChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E080	0001	C3DMeshFileSaver	CChunkedFileSaver	SI
0129EC28	0011	C3DMeshFileSmoothingGroupsChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EB18	0011	C3DMeshFileSubMeshChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EB54	0011	C3DMeshFileTransformationChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129ED34	0011	C3DMeshFileTrianglesChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129EC6C	0011	C3DMeshFileUniqueVerticesChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129ECF8	0011	C3DMeshFileVerticesChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E404	0011	C3DMeshFileXAnimatedPrimitiveBlockChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E278	0011	C3DMeshFileXAnimatedPrimitiveChunk	CChunkedFileSuperChunk, CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E2FC	0011	C3DMeshFileXBoundingBoxChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E2BC	0011	C3DMeshFileXBoundingSphereChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E450	0001	C3DMeshFileXLoader	C3DMeshFileLoader, CChunkedFileLoader	SI
0129E238	0011	C3DMeshFileXMappingInfoChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E1F8	0011	C3DMeshFileXTextureIndexChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E380	0011	C3DMeshFileXTriangleStripChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E3C0	0011	C3DMeshFileXUVTangentChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129E33C	0011	C3DMeshFileXVertexDataChunk	CChunkedFileChunk, CBaseClassNonCopyable, CBaseClass	SI
0129CDD0	0002	C3DMeshInfo	:CMeshData: CIVCountedPointeeBase	SI
0129CDA4	0010	C3DMeshLODInfo	CResource, CIVCountedPointeeBase	SI
0129EDB4	0002	C3DMeshMaterial	:CFilenames: CIVCountedPointeeBase	SI
01239860	0001	C3DMeshObject	CBaseClass	SI
0129CF04	0010	C3DMeshStats	CMovableResource	SI
0129DF20	0001	C3DMeshStripifier	CBaseClassNonCopyable, CBaseClass	SI
0129F048	0003	C3DOptimisedMeshBase	CBaseClassNonCopyable, CBaseClass	SI
01239824	0001	C3DOrientationInterpolator	CBaseClass	SI
0123981C	0001	C3DPositionInterpolator	CBaseClass	SI
0129DF94	0004	C3DPrimitive2	CMovableResource	SI
0129E13C	0001	C3DQuadricBasedMeshOptimiser	CBaseClassNonCopyable, CBaseClass	SI
0129D498	0001	C3DSkeletalMorph	CBaseClassNonCopyable, CBaseClass	SI
0129D490	0001	C3DSkeletalMorphParameter	CBaseClassNonCopyable, CBaseClass	SI
0123610C	0025	CAbilityButtonGuiDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
