# Consolidated Fable.exe symbol database (Steam TLC, base 0x400000)
# Sources: FableMenu source (func addresses+names), RTTI dump (vtables), curated statics.
# 2350 symbols: 251 func, 2090 vtable, 9 data. Columns below.
addr	name	kind	conv	source
00407A70	CUserProfileManager::SetAssignedInputKeyboard	func	thiscall	FableMenu
00408C90	CUserProfileManager::GetAssignedInputForAction	func	thiscall	FableMenu
0040D2A0	CUserProfileManager::Get	func	cdecl	FableMenu
0040F020	CThing::GetTC	func	thiscall	FableMenu
004118C0	CThing::HasTC	func	thiscall	FableMenu
004498C0	CWorld::GetPlayer	func	thiscall	FableMenu
00449970	CPlayerManager::GetMainPlayer	func	thiscall	FableMenu
0044C6B0	GetThingID	func	cdecl	FableMenu
00487B70	CPlayer::GetCharacterThing	func	thiscall	FableMenu
00487BD0	CPlayer::UninitCharacter	func	thiscall	FableMenu
00487CF0	CPlayer::SetControlledCreature	func	thiscall	FableMenu
00487E90	CPlayer::ToggleAggressiveMode	func	thiscall	FableMenu
00487EB0	CPlayer::SetAgressiveMode	func	thiscall	FableMenu
00488620	CPlayer::GetPNearestTCVillage	func	thiscall	FableMenu
0048A070	CPlayer::InitCharacterAs	func	thiscall	FableMenu
004A0940	CWorld::TeleportHeroToHSP	func	thiscall	FableMenu
004A0AE0	CWorld::AutoSave	func	thiscall	FableMenu
004AF560	CQuestManager::IsQuestCardActive	func	thiscall	FableMenu
004AF610	CQuestManager::IsQuestActive	func	thiscall	FableMenu
004AF740	CQuestManager::GetIndexFromRegisteredQuest	func	thiscall	FableMenu
004B0C80	CQuestManager::GetActiveQuestCardFromScriptName	func	thiscall	FableMenu
004B1080	CQuestManager::IsAnyQuestActive	func	thiscall	FableMenu
004B1D30	CQuestManager::SetQuestAsCompleted	func	thiscall	FableMenu
004B43D0	CQuestManager::DeactivateQuest	func	thiscall	FableMenu
004B4450	CQuestManager::DeactivateAllQuests	func	thiscall	FableMenu
004B4A10	CQuestManager::ActivateQuest	func	thiscall	FableMenu
004BFA50	CTCGraphicAppearance::SetScale	func	thiscall	FableMenu
004BFAC0	CTCGraphicAppearance::SetAlpha	func	thiscall	FableMenu
004BFB40	CTCGraphicAppearance::SetLightingChannel	func	thiscall	FableMenu
004BFFC0	CTCGraphicAppearance::ClearHighlighted	func	thiscall	FableMenu
004C00B0	CTCGraphicAppearance::SetColor	func	thiscall	FableMenu
004C04C0	CTCGraphicAppearance::SetAsHighlighted	func	thiscall	FableMenu
004C73D0	CThing::GetPosition	func	thiscall	FableMenu
004C79D0	CThing::GetWorldMap	func	cdecl	FableMenu
004C7A10	CThing::PeekPlayer	func	thiscall	FableMenu
004C7CC0	CThing::GetDefName	func	thiscall	FableMenu
004C8CF0	CThing::SetInLimbo	func	thiscall	FableMenu
004C9840	CThing::RemoveTC	func	thiscall	FableMenu
004C9B80	CThing::Kill	func	thiscall	FableMenu
004C9D60	CThing::AddTC	func	thiscall	FableMenu
004CC340	CThing::isThingAlive	func	thiscall	FableMenu
004D5245	CTCFollowed::Alloc	func	thiscall	FableMenu
004E7DFC	CTCCarrying::Alloc	func	thiscall	FableMenu
004FB4A0	CWorldMap::IsLoadingAnyMap	func	thiscall	FableMenu
004FC050	CWorldMap::IsMapLoaded	func	thiscall	FableMenu
004FEEC0	CWorldMap::UnloadRegion	func	thiscall	FableMenu
00500540	CWorldMap::LoadRegion	func	thiscall	FableMenu
005025B0	CWorldMap::ReloadCurrentRegion	func	thiscall	FableMenu
005063E0	CWorldMap::SetPlayerPos	func	thiscall	FableMenu
0057BE71	CTCHeroStats::CheckForNewExpressions	func	thiscall	FableMenu
005812AE	CTCHaste::SetActionSpeedMultiplier	func	thiscall	FableMenu
0058148D	CTCHaste::UnsetActionSpeedMultiplier	func	thiscall	FableMenu
005B40E6	CTCInventoryClothing::RemoveAllClothing	func	thiscall	FableMenu
005B4E7C	CTCInventoryClothing::OpenInventory	func	thiscall	FableMenu
005B6A2D	CTCInventoryClothing::CloseInventory	func	thiscall	FableMenu
005BF654	CTCInventoryBase::AddItemToInventory	func	thiscall	FableMenu
005D8E20	CTCInventoryItem::RemoveFromInventory	func	thiscall	FableMenu
005D97F0	CTCInventoryItem::IsWeapon	func	thiscall	FableMenu
005DAA00	CTCWeapon::IsMeleeWeapon	func	thiscall	FableMenu
005DAA40	CTCWeapon::IsProjectileWeapon	func	thiscall	FableMenu
005DAAA0	CTCWeapon::GetDamage	func	thiscall	FableMenu
005EDE93	CTCInventoryAbilities::GetAbilityLevel	func	thiscall	FableMenu
005EEEE6	CTCInventoryAbilities::UpgradeAbility	func	thiscall	FableMenu
005F3E7D	CTCInventoryAbilities::ForceAllAbilitesToMaxLevel	func	thiscall	FableMenu
00633BE0	CPlayer::GetCurrentMode	func	thiscall	FableMenu
00634160	CPlayer::HasMode	func	thiscall	FableMenu
00634190	CPlayer::RemoveMode	func	thiscall	FableMenu
006345C0	CPlayer::AddMode	func	thiscall	FableMenu
